WT_18.12.24_PLA4043D_60C_INITIAL_MEASUREMENTS
Sample;Measure 1 (g);Measure 2 (g);Measure 3 (g);Average (g);Time of Test;Temperature (C)
1;;4.308;4.311;4.312;10:26:26 | 2024-12-18;19.69
2;4.315;4.31;4.316;4.314;10:27:46 | 2024-12-18;19.69
3;4.315;4.316;4.311;4.314;10:29:07 | 2024-12-18;19.69
4;4.322;4.32;4.318;4.32;10:30:27 | 2024-12-18;19.75
5;4.321;4.321;4.315;4.319;10:31:47 | 2024-12-18;19.69
6;4.301;4.299;4.306;4.302;10:33:07 | 2024-12-18;19.69
7;4.316;4.31;4.314;4.313;10:34:26 | 2024-12-18;19.69
8;4.333;4.321;4.324;4.326;10:35:46 | 2024-12-18;19.69
9;4.308;4.291;4.284;4.294;10:37:09 | 2024-12-18;19.69
10;4.307;4.308;4.304;4.306;10:38:29 | 2024-12-18;19.69
12;4.322;4.322;4.306;4.317;10:46:49 | 2024-12-18;19.75
13;4.33;4.329;4.345;4.335;10:48:08 | 2024-12-18;19.81
14;4.329;4.322;4.325;4.325;10:49:28 | 2024-12-18;19.81
15;4.324;4.32;4.316;4.32;10:50:50 | 2024-12-18;19.81
16;4.312;4.319;4.307;4.313;10:52:10 | 2024-12-18;19.81
17;4.316;4.321;4.317;4.318;10:53:30 | 2024-12-18;19.87
18;4.314;4.309;4.306;4.31;10:54:49 | 2024-12-18;19.87
19;4.333;4.323;4.326;4.327;10:56:08 | 2024-12-18;19.12
20;4.338;4.332;4.332;4.334;10:57:28 | 2024-12-18;18.44
21;4.319;4.313;4.317;4.316;10:58:47 | 2024-12-18;17.87
23;4.315;4.317;4.314;4.315;11:07:32 | 2024-12-18;17.62
24;4.32;4.319;4.32;4.32;11:08:51 | 2024-12-18;17.69
25;4.334;4.335;4.335;4.335;11:10:10 | 2024-12-18;17.75
26;4.32;4.319;4.317;4.319;11:11:29 | 2024-12-18;17.81
27;4.318;4.315;4.326;4.32;11:12:48 | 2024-12-18;17.56
28;4.311;4.305;4.309;4.308;11:14:07 | 2024-12-18;16.69
29;4.325;4.342;4.321;4.329;11:15:27 | 2024-12-18;15.88
30;4.322;4.329;4.338;4.33;11:16:47 | 2024-12-18;15.19
31;4.307;4.325;4.304;4.312;11:18:07 | 2024-12-18;14.63
32;4.319;4.318;4.319;4.319;11:19:26 | 2024-12-18;14.25
34;4.329;4.332;4.329;4.33;11:28:32 | 2024-12-18;15
35;4.312;4.317;4.317;4.315;11:29:51 | 2024-12-18;15.5
36;4.313;4.309;4.314;4.312;11:31:10 | 2024-12-18;15.94
37;4.319;4.316;4.316;4.317;11:32:30 | 2024-12-18;16.25
38;4.317;4.313;4.318;4.316;11:33:49 | 2024-12-18;16.56
39;4.332;4.317;4.323;4.324;11:35:09 | 2024-12-18;16.87
40;4.317;4.324;4.319;4.32;11:36:28 | 2024-12-18;17.12
41;4.314;4.319;4.306;4.313;11:37:48 | 2024-12-18;17.37
42;4.322;4.324;4.325;4.324;11:39:07 | 2024-12-18;17.62
43;4.307;4.303;4.307;4.306;11:40:27 | 2024-12-18;17.94
45;4.299;4.294;4.294;4.296;11:49:32 | 2024-12-18;18.56
46;4.313;4.308;4.315;4.312;11:50:52 | 2024-12-18;18.81
47;4.314;4.314;4.32;4.316;11:52:11 | 2024-12-18;18.94
48;4.307;4.309;4.32;4.312;11:53:30 | 2024-12-18;19
49;4.328;4.334;4.332;4.331;11:54:50 | 2024-12-18;19.19
50;4.315;4.31;4.312;4.312;11:56:09 | 2024-12-18;19.31
51;4.33;4.318;4.324;4.324;11:57:28 | 2024-12-18;19.37
52;4.315;4.311;4.302;4.309;11:58:47 | 2024-12-18;19.37
53;4.315;4.314;4.31;4.313;12:00:07 | 2024-12-18;19.5
54;4.313;4.31;4.312;4.312;12:01:26 | 2024-12-18;19.62
56;4.312;4.313;4.312;4.312;12:10:48 | 2024-12-18;19.81
57;4.309;4.302;4.301;4.304;12:12:07 | 2024-12-18;19.87
58;4.329;4.327;4.324;4.327;12:13:26 | 2024-12-18;19.94
59;4.32;4.315;4.312;4.316;12:14:45 | 2024-12-18;20
60;4.324;4.323;4.311;4.319;12:16:04 | 2024-12-18;20.12
61;4.325;4.306;4.313;4.315;12:17:24 | 2024-12-18;20.06
62;4.327;4.324;4.321;4.324;12:18:44 | 2024-12-18;20.19
63;4.309;4.307;4.295;4.304;12:20:03 | 2024-12-18;20.37
64;4.33;4.323;4.312;4.322;12:21:23 | 2024-12-18;20.37
65;4.309;4.302;4.312;4.308;12:22:42 | 2024-12-18;20.31
67;4.321;4.315;4.317;4.318;12:31:35 | 2024-12-18;19.94
68;4.315;4.318;4.314;4.316;12:32:55 | 2024-12-18;20
69;4.324;4.317;4.32;4.32;12:34:14 | 2024-12-18;20.12
70;4.325;4.333;4.326;4.328;12:35:33 | 2024-12-18;20.19
71;4.328;4.322;4.319;4.323;12:36:53 | 2024-12-18;20.19
72;4.324;4.324;4.322;4.323;12:38:12 | 2024-12-18;20.31
73;4.324;4.322;4.323;4.323;12:39:31 | 2024-12-18;20.37
74;4.313;4.307;4.308;4.309;12:40:51 | 2024-12-18;20.37
75;4.313;4.307;4.31;4.31;12:42:10 | 2024-12-18;20.5
76;4.317;4.322;4.305;4.315;12:43:30 | 2024-12-18;20.56
78;4.323;4.322;4.32;4.322;12:52:32 | 2024-12-18;20.56
79;4.325;4.316;4.32;4.32;12:53:51 | 2024-12-18;20.62
80;4.331;4.334;4.325;4.33;12:55:11 | 2024-12-18;20.56
81;4.315;4.313;4.314;4.314;12:56:30 | 2024-12-18;20.69
82;4.323;4.324;4.317;4.321;12:57:50 | 2024-12-18;20.75
83;4.336;4.33;4.33;4.332;12:59:09 | 2024-12-18;20.75
84;4.318;4.316;4.318;4.317;13:00:29 | 2024-12-18;20.87
85;4.316;4.318;4.314;4.316;13:01:48 | 2024-12-18;20.87
86;4.301;4.307;4.301;4.303;13:03:07 | 2024-12-18;20.81
87;4.315;4.319;4.315;4.316;13:04:27 | 2024-12-18;20.87
89;4.321;4.332;4.308;4.32;13:13:33 | 2024-12-18;20.87
90;4.316;4.323;4.317;4.319;13:14:53 | 2024-12-18;20.87
91;4.308;4.3;4.321;4.31;13:16:12 | 2024-12-18;20.81
92;4.321;4.318;4.303;4.314;13:17:31 | 2024-12-18;20.81
93;4.289;4.303;4.299;4.297;13:18:50 | 2024-12-18;20.69
94;4.316;4.321;4.324;4.32;13:20:09 | 2024-12-18;20.69
95;4.309;4.318;4.35;4.326;13:21:29 | 2024-12-18;20.62
96;4.323;4.328;4.305;4.319;13:22:48 | 2024-12-18;20.56
97;4.302;4.314;4.303;4.306;13:24:07 | 2024-12-18;20.56
98;4.321;4.3;4.321;4.314;13:25:27 | 2024-12-18;20.56
100;4.342;4.304;4.318;4.321;13:34:40 | 2024-12-18;20.56
101;4.321;4.315;4.348;4.328;13:35:59 | 2024-12-18;20.62
102;4.308;4.311;4.302;4.307;13:37:21 | 2024-12-18;20.62
103;4.317;4.32;4.351;4.329;13:38:41 | 2024-12-18;20.75
104;4.339;4.326;4.305;4.323;13:40:00 | 2024-12-18;20.75
105;4.316;4.308;4.297;4.307;13:41:19 | 2024-12-18;20.87
106;4.319;4.316;4.313;4.316;13:42:39 | 2024-12-18;20.81
107;4.328;4.325;4.317;4.323;13:43:58 | 2024-12-18;20.87
108;4.317;4.319;4.326;4.321;13:45:17 | 2024-12-18;20.75
109;4.308;4.308;4.317;4.311;13:46:37 | 2024-12-18;20.87
111;4.316;4.316;4.312;4.315;13:55:32 | 2024-12-18;20.87
112;4.325;4.32;4.324;4.323;13:56:52 | 2024-12-18;21
113;4.321;4.305;4.312;4.313;13:58:11 | 2024-12-18;21.06
114;4.33;4.332;4.332;4.331;13:59:30 | 2024-12-18;21.12
115;4.313;4.314;4.314;4.314;14:00:50 | 2024-12-18;21.12
116;4.311;4.318;4.315;4.315;14:02:10 | 2024-12-18;21.12
117;4.321;4.315;4.317;4.318;14:03:29 | 2024-12-18;21.06
118;4.322;4.325;4.329;4.325;14:04:48 | 2024-12-18;21.12
119;4.317;4.314;4.315;4.315;14:06:08 | 2024-12-18;21.12
120;4.307;4.304;4.308;4.306;14:07:28 | 2024-12-18;21.19
122;4.315;4.315;4.31;4.313;14:16:33 | 2024-12-18;21.31
123;4.314;4.315;4.315;4.315;14:17:52 | 2024-12-18;21.25
124;4.325;4.32;4.32;4.322;14:19:12 | 2024-12-18;21.25
125;4.307;4.307;4.31;4.308;14:20:32 | 2024-12-18;21.31
126;4.325;4.326;4.322;4.324;14:21:51 | 2024-12-18;21.37
127;4.312;4.316;4.319;4.316;14:23:10 | 2024-12-18;21.37
128;4.314;4.311;4.316;4.314;14:24:30 | 2024-12-18;21.5
129;4.311;4.327;4.348;4.329;14:25:49 | 2024-12-18;21.44
130;4.295;4.307;4.321;4.308;14:27:09 | 2024-12-18;21.37
131;4.335;4.372;4.313;4.34;14:28:28 | 2024-12-18;21.31
133;4.28;4.227;4.273;4.26;14:37:41 | 2024-12-18;21.19
134;4.322;4.308;4.297;4.309;14:39:00 | 2024-12-18;21.12
135;4.319;4.309;4.318;4.315;14:40:20 | 2024-12-18;21.06
136;4.327;4.292;4.3;4.306;14:41:39 | 2024-12-18;21
137;4.309;4.351;4.308;4.323;14:42:58 | 2024-12-18;21
138;4.324;4.29;4.318;4.311;14:44:18 | 2024-12-18;21
139;4.307;4.282;4.305;4.298;14:45:37 | 2024-12-18;21
140;4.318;4.334;4.337;4.33;14:46:57 | 2024-12-18;21
141;4.312;4.307;4.315;4.311;14:48:16 | 2024-12-18;20.94
142;4.308;4.303;4.319;4.31;14:49:36 | 2024-12-18;20.87
144;4.327;4.321;4.326;4.325;14:58:33 | 2024-12-18;21
145;4.332;4.327;4.33;4.33;14:59:52 | 2024-12-18;21.06
146;4.298;4.323;4.317;4.313;15:01:12 | 2024-12-18;21.19
147;4.324;4.321;4.325;4.323;15:02:31 | 2024-12-18;21.19
148;4.316;4.315;4.32;4.317;15:03:50 | 2024-12-18;21.19
149;4.315;4.319;4.321;4.318;15:05:10 | 2024-12-18;21.31
150;4.322;4.331;4.322;4.325;15:06:29 | 2024-12-18;21.25
151;4.301;4.305;4.307;4.304;15:07:48 | 2024-12-18;21.25
152;4.304;4.301;4.304;4.303;15:09:08 | 2024-12-18;21.31
153;4.316;4.302;4.313;4.31;15:10:27 | 2024-12-18;21.44
155;4.326;4.325;4.313;4.321;15:19:32 | 2024-12-18;21.37
156;4.321;4.32;4.324;4.322;15:20:52 | 2024-12-18;21.5
157;4.315;4.318;4.32;4.318;15:22:12 | 2024-12-18;21.56
158;4.311;4.3;4.312;4.308;15:23:31 | 2024-12-18;21.62
159;4.321;4.321;4.319;4.32;15:24:51 | 2024-12-18;21.62
160;4.313;4.314;4.314;4.314;15:26:10 | 2024-12-18;21.62
161;4.331;4.329;4.338;4.333;15:27:30 | 2024-12-18;21.62
162;4.296;4.31;4.313;4.306;15:28:49 | 2024-12-18;21.69
163;4.339;4.318;4.34;4.332;15:30:09 | 2024-12-18;21.81
164;4.313;4.301;4.305;4.306;15:31:28 | 2024-12-18;21.81
