WT_25.12.24_PLA4043D_60C
Sample;Measure 1 (g);Measure 2 (g);Measure 3 (g);Average (g);Time of Test;Temperature (C)
1;4.313;4.306;4.314;4.311;17:44:30 | 2024-12-18;59.69
2;4.306;4.323;4.314;4.314;17:46:13 | 2024-12-18;59.81
3;4.307;4.303;4.302;4.304;17:47:56 | 2024-12-18;60.00
4;4.323;4.338;4.329;4.33;17:49:40 | 2024-12-18;60.31
5;4.333;4.354;4.35;4.346;17:51:23 | 2024-12-18;60.44
6;4.303;4.361;4.343;4.336;17:53:07 | 2024-12-18;60.69
7;4.325;4.37;4.29;4.328;17:54:50 | 2024-12-18;60.63
8;4.335;4.342;4.326;4.334;17:56:33 | 2024-12-18;60.75
9;4.324;4.315;4.287;4.309;17:58:16 | 2024-12-18;60.50
10;4.357;4.308;4.353;4.339;18:00:00 | 2024-12-18;60.50
12;4.361;4.361;4.359;4.36;05:43:55 | 2024-12-19;59.56
13;4.375;4.372;4.372;4.373;05:45:39 | 2024-12-19;58.88
14;4.371;4.371;4.366;4.369;05:47:23 | 2024-12-19;58.81
15;4.366;4.363;4.361;4.363;05:49:07 | 2024-12-19;58.88
16;4.357;4.354;4.354;4.355;05:50:50 | 2024-12-19;59.00
17;4.365;4.362;4.361;4.363;05:52:34 | 2024-12-19;59.19
18;4.358;4.355;4.353;4.355;05:54:17 | 2024-12-19;59.31
19;4.367;4.364;4.364;4.365;05:56:02 | 2024-12-19;59.38
20;4.38;4.376;4.375;4.377;05:57:45 | 2024-12-19;59.38
21;4.361;4.36;4.359;4.36;05:59:29 | 2024-12-19;59.38
23;4.374;4.337;4.371;4.361;17:43:55 | 2024-12-19;59.88
24;4.357;4.356;4.352;4.355;17:45:38 | 2024-12-19;60.00
25;4.37;4.373;4.357;4.367;17:47:22 | 2024-12-19;59.94
26;4.357;4.361;4.331;4.35;17:49:05 | 2024-12-19;60.13
27;4.352;4.371;4.342;4.355;17:50:49 | 2024-12-19;60.31
28;4.353;4.385;4.357;4.365;17:52:33 | 2024-12-19;60.38
29;4.361;4.357;4.358;4.359;17:54:16 | 2024-12-19;60.50
30;4.366;4.434;4.377;4.392;17:56:00 | 2024-12-19;60.56
31;4.347;4.354;4.358;4.353;17:57:43 | 2024-12-19;60.56
32;4.385;4.331;4.351;4.356;17:59:27 | 2024-12-19;60.44
34;4.372;4.378;4.372;4.374;05:43:55 | 2024-12-20;59.50
35;4.363;4.36;4.356;4.36;05:45:39 | 2024-12-20;59.19
36;4.359;4.356;4.357;4.357;05:47:23 | 2024-12-20;59.00
37;4.367;4.361;4.363;4.364;05:49:06 | 2024-12-20;59.44
38;4.362;4.36;4.359;4.36;05:50:50 | 2024-12-20;59.44
39;4.372;4.367;4.366;4.368;05:52:34 | 2024-12-20;59.63
40;4.366;4.369;4.368;4.368;05:54:17 | 2024-12-20;59.50
41;4.365;4.364;4.358;4.362;05:56:01 | 2024-12-20;59.56
42;4.369;4.366;4.366;4.367;05:57:46 | 2024-12-20;59.56
43;4.356;4.35;4.35;4.352;05:59:30 | 2024-12-20;59.44
45;4.345;4.381;4.352;4.359;17:43:56 | 2024-12-20;60.00
46;4.354;4.404;4.351;4.37;17:45:40 | 2024-12-20;60.00
47;4.361;4.353;4.332;4.349;17:47:25 | 2024-12-20;60.00
48;4.353;4.356;4.335;4.348;17:49:09 | 2024-12-20;60.25
49;4.357;4.371;4.388;4.372;17:50:53 | 2024-12-20;60.31
50;4.367;4.367;4.345;4.36;17:52:38 | 2024-12-20;60.38
51;4.355;4.362;4.356;4.358;17:54:22 | 2024-12-20;60.38
52;4.38;4.321;4.355;4.352;17:56:06 | 2024-12-20;60.31
53;4.366;4.376;4.387;4.376;17:57:50 | 2024-12-20;60.44
54;4.373;4.364;4.358;4.365;17:59:34 | 2024-12-20;60.56
56;4.357;4.371;4.36;4.363;05:43:56 | 2024-12-21;59.94
57;4.357;4.356;4.352;4.355;05:45:40 | 2024-12-21;59.56
58;4.372;4.371;4.369;4.371;05:47:24 | 2024-12-21;59.50
59;4.36;4.359;4.358;4.359;05:49:08 | 2024-12-21;59.56
60;4.366;4.363;4.365;4.365;05:50:52 | 2024-12-21;59.69
61;4.367;4.363;4.361;4.364;05:52:36 | 2024-12-21;59.81
62;4.377;4.377;4.376;4.377;05:54:20 | 2024-12-21;59.88
63;4.364;4.358;4.358;4.36;05:56:04 | 2024-12-21;59.88
64;4.376;4.372;4.374;4.374;05:57:48 | 2024-12-21;59.94
65;4.354;4.351;4.35;4.352;05:59:32 | 2024-12-21;60.00
67;4.372;4.367;4.369;4.369;17:43:57 | 2024-12-21;59.75
68;4.37;4.366;4.367;4.368;17:45:40 | 2024-12-21;59.25
69;4.375;4.372;4.371;4.373;17:47:24 | 2024-12-21;59.25
70;4.382;4.38;4.378;4.38;17:49:07 | 2024-12-21;59.38
71;4.374;4.369;4.369;4.371;17:50:51 | 2024-12-21;59.63
72;4.376;4.373;4.371;4.373;17:52:35 | 2024-12-21;59.81
73;4.373;4.371;4.369;4.371;17:54:19 | 2024-12-21;59.88
74;4.362;4.359;4.359;4.36;17:56:03 | 2024-12-21;59.94
75;4.361;4.358;4.355;4.358;17:57:47 | 2024-12-21;59.94
76;4.37;4.366;4.363;4.366;17:59:30 | 2024-12-21;59.88
78;4.371;4.369;4.37;4.37;05:43:56 | 2024-12-22;59.69
79;4.371;4.371;4.365;4.369;05:45:40 | 2024-12-22;59.13
80;4.376;4.375;4.374;4.375;05:47:24 | 2024-12-22;59.00
81;4.368;4.367;4.367;4.367;05:49:08 | 2024-12-22;59.06
82;4.374;4.375;4.371;4.373;05:50:51 | 2024-12-22;59.25
